     0.770  23.051924893156289
     0.767  23.806181467227183
     0.763  19.555707140885848
     0.760  20.482141343909285
     0.757  18.485465022228517
     0.754  18.727846733498195
     0.751  17.571797107803020
     0.748  17.878267388832054
     0.745  18.059537462143063
     0.741  17.486764614698196
     0.738  16.258430497538695
     0.735  16.009216258233468
     0.732  15.587942656827418
     0.729  15.511774810303520
     0.726  15.631640205233682
     0.723  14.940096891377946
     0.719  14.559650332535366
     0.716  14.193424458995937
     0.713  13.565124714117490
     0.710  14.102599410483911
     0.707  13.887234315975870
     0.704  13.630701055976587
     0.701  14.204258473872853
     0.697  14.146930674789255
     0.694  14.152662240447140
     0.691  13.550075453616619
     0.688  13.682342908150804
     0.685  13.838804762825898
     0.682  13.468181161123819
     0.679  13.027039735677933
     0.675  12.934834365701751
     0.672  12.663725960740975
     0.669  12.489017807193354
     0.666  12.298426401007312
     0.663  12.067973987875643
     0.660  11.895123945352659
     0.657  11.699829251521674
     0.653  11.545622413417919
     0.650  11.306569463601327
     0.647  11.105571867890421
     0.644  10.882854666828114
     0.641  10.650002789776859
     0.638  10.541962270577133
     0.635  10.297193605111130
     0.631  10.152899461044023
     0.628   9.961831192450364
     0.625   9.797574978023286
     0.622   9.622333774108340
     0.619   9.411576553657357
     0.616   9.360754769522718
     0.613   9.236500352907670
     0.609   9.032755637341912
     0.606   8.790621521402844
     0.603   8.697969841511914
     0.600   8.548497193786289
     0.597   8.401964580036426
